qid,question,answer,qid,question,answer,concepts,numbers,units,relations
5,which food could be directly absorbed hy human body?,sugar,5,which food could be directly absorbed hy human body?,sugar,"['absorb', 'hy', 'sugar', 'body', 'food', 'human']",[],['m'],[]
5,which food could be directly absorbed hy human body?,honey,5,which food could be directly absorbed hy human body?,honey,"['absorb', 'honey', 'hy', 'body', 'food', 'human']",[],['m'],[]
5,which food could be directly absorbed hy human body?,rice,5,which food could be directly absorbed hy human body?,rice,"['rice', 'absorb', 'hy', 'body', 'food', 'human']",[],['m'],[]
6,which is called necessary evil?,imbibition,6,which is called necessary evil?,imbibition,"['call', 'necessary', 'evil', 'imbibition']",[],['m'],[]
6,which is called necessary evil?,diffusion,6,which is called necessary evil?,diffusion,"['diffusion', 'call', 'necessary', 'evil']",[],[],[]
6,which is called necessary evil?,osmosis,6,which is called necessary evil?,osmosis,"['call', 'necessary', 'osmosis', 'evil']",[],['m'],[]
6,which is called necessary evil?,transpiration,6,which is called necessary evil?,transpiration,"['call', 'evil', 'necessary', 'transpiration']",[],[],[]
7,what kind of patients can have a heart attack without any symptoms?,leukemia,7,what kind of patients can have a heart attack without any symptoms?,leukemia,"['symptom', 'attack', 'kind', 'heart', 'leukemia', 'patient']",[],['m'],[]
7,what kind of patients can have a heart attack without any symptoms?,diabetes,7,what kind of patients can have a heart attack without any symptoms?,diabetes,"['symptom', 'attack', 'kind', 'heart', 'diabete', 'patient']",[],['m'],[]
7,what kind of patients can have a heart attack without any symptoms?,thalassemia,7,what kind of patients can have a heart attack without any symptoms?,thalassemia,"['symptom', 'attack', 'thalassemia', 'kind', 'heart', 'patient']",[],['m'],[]
7,what kind of patients can have a heart attack without any symptoms?,aids,7,what kind of patients can have a heart attack without any symptoms?,aids,"['symptom', 'attack', 'kind', 'heart', 'patient', 'aid']",[],['m'],[]
8,which organ of the children can be affected by tonsil and scabies?,kidney,8,which organ of the children can be affected by tonsil and scabies?,kidney,"['organ', 'scabie', 'child', 'tonsil', 'affect', 'kidney']",[],[],[]
8,which organ of the children can be affected by tonsil and scabies?,liver,8,which organ of the children can be affected by tonsil and scabies?,liver,"['organ', 'scabie', 'liver', 'child', 'tonsil', 'affect']",[],[],[]
8,which organ of the children can be affected by tonsil and scabies?,lung,8,which organ of the children can be affected by tonsil and scabies?,lung,"['organ', 'scabie', 'child', 'lung', 'tonsil', 'affect']",[],[],[]
8,which organ of the children can be affected by tonsil and scabies?,tongue,8,which organ of the children can be affected by tonsil and scabies?,tongue,"['organ', 'scabie', 'tongue', 'child', 'tonsil', 'affect']",[],[],[]
9,urine is light yellow due to the presence of which one?,urea,9,urine is light yellow due to the presence of which one?,urea,"['urea', 'urine', 'light', 'yellow', 'presence']",['one'],[],[]
9,urine is light yellow due to the presence of which one?,creatinine,9,urine is light yellow due to the presence of which one?,creatinine,"['urine', 'light', 'yellow', 'presence', 'creatinine']",['one'],[],[]
9,urine is light yellow due to the presence of which one?,urichrome,9,urine is light yellow due to the presence of which one?,urichrome,"['urine', 'urichrome', 'light', 'yellow', 'presence']",['one'],['m'],[]
9,urine is light yellow due to the presence of which one?,uric acid,9,urine is light yellow due to the presence of which one?,uric acid,"['urine', 'uric', 'light', 'yellow', 'acid', 'presence']",['one'],[],[]
10,how many male gametes are produced by the divison of pollea generative cell?,2,10,how many male gametes are produced by the divison of pollea generative cell?,2,"['cell', 'divison', 'gamete', 'pollea', 'generative', 'male', 'produce']",['2'],['m'],[]
10,how many male gametes are produced by the divison of pollea generative cell?,4,10,how many male gametes are produced by the divison of pollea generative cell?,4,"['cell', 'divison', 'gamete', 'pollea', 'generative', 'male', 'produce']",['4'],['m'],[]
10,how many male gametes are produced by the divison of pollea generative cell?,6,10,how many male gametes are produced by the divison of pollea generative cell?,6,"['cell', 'divison', 'gamete', 'pollea', 'generative', 'male', 'produce']",['6'],['m'],[]
10,how many male gametes are produced by the divison of pollea generative cell?,8,10,how many male gametes are produced by the divison of pollea generative cell?,8,"['cell', 'divison', 'gamete', 'pollea', 'generative', 'male', 'produce']",['8'],['m'],[]
11,which of the following helps in metabolic and physiological functions in body?,albumin,11,which of the following helps in metabolic and physiological functions in body?,albumin,"['albumin', 'metabolic', 'physiological', 'body', 'help', 'following', 'function']",[],['m'],[]
11,which of the following helps in metabolic and physiological functions in body?,thyroxine,11,which of the following helps in metabolic and physiological functions in body?,thyroxine,"['metabolic', 'function', 'physiological', 'body', 'help', 'following', 'thyroxine']",[],['m'],[]
11,which of the following helps in metabolic and physiological functions in body?,pepsin,11,which of the following helps in metabolic and physiological functions in body?,pepsin,"['metabolic', 'pepsin', 'physiological', 'body', 'help', 'following', 'function']",[],['m'],[]
11,which of the following helps in metabolic and physiological functions in body?,ammonea,11,which of the following helps in metabolic and physiological functions in body?,ammonea,"['metabolic', 'help', 'physiological', 'body', 'ammonea', 'following', 'function']",[],"['mm', 'm']",[]
12,rna contains uracil instead of which one?,thymine,12,rna contains uracil instead of which one?,thymine,"['contain', 'rna', 'thymine', 'uracil']",['one'],['m'],[]
12,rna contains uracil instead of which one?,cytosine,12,rna contains uracil instead of which one?,cytosine,"['contain', 'rna', 'cytosine', 'uracil']",['one'],[],[]
12,rna contains uracil instead of which one?,guanine,12,rna contains uracil instead of which one?,guanine,"['contain', 'rna', 'uracil', 'guanine']",['one'],[],[]
12,rna contains uracil instead of which one?,adenine,12,rna contains uracil instead of which one?,adenine,"['contain', 'rna', 'adenine', 'uracil']",['one'],[],[]
13,carolus linnaeus is a scientist of which country?,sweden,13,carolus linnaeus is a scientist of which country?,sweden,"['scientist', 'carolus', 'linnaeus', 'country', 'sweden']",[],[],[]
13,carolus linnaeus is a scientist of which country?,pakistan,13,carolus linnaeus is a scientist of which country?,pakistan,"['scientist', 'carolus', 'pakistan', 'linnaeus', 'country']",[],[],[]
13,carolus linnaeus is a scientist of which country?,germany,13,carolus linnaeus is a scientist of which country?,germany,"['scientist', 'germany', 'carolus', 'linnaeus', 'country']",[],['m'],[]
13,carolus linnaeus is a scientist of which country?,canada,13,carolus linnaeus is a scientist of which country?,canada,"['scientist', 'carolus', 'linnaeus', 'country', 'canada']",[],[],[]
14,which is the scientific name of cockroach?,vibrio cholerae,14,which is the scientific name of cockroach?,vibrio cholerae,"['scientific', 'cockroach', 'vibrio', 'cholerae', 'vibrio cholerae']",[],['m'],[]
14,which is the scientific name of cockroach?,apis indica,14,which is the scientific name of cockroach?,apis indica,"['apis', 'scientific', 'indica', 'cockroach']",[],['m'],[]
14,which is the scientific name of cockroach?,periplaneta americana,14,which is the scientific name of cockroach?,periplaneta americana,"['scientific', 'periplaneta', 'americana', 'cockroach']",[],['m'],[]
14,which is the scientific name of cockroach?,plasmodium vivax,14,which is the scientific name of cockroach?,plasmodium vivax,"['vivax', 'scientific', 'cockroach', 'plasmodium']",[],['m'],[]
15,by contact with which leucoplast is converted to chioroplast?,soil,15,by contact with which leucoplast is converted to chioroplast?,soil,"['convert', 'leucoplast', 'contact', 'chioroplast', 'soil']",[],[],[]
15,by contact with which leucoplast is converted to chioroplast?,light,15,by contact with which leucoplast is converted to chioroplast?,light,"['convert', 'leucoplast', 'contact', 'chioroplast', 'light']",[],[],[]
15,by contact with which leucoplast is converted to chioroplast?,air,15,by contact with which leucoplast is converted to chioroplast?,air,"['convert', 'leucoplast', 'air', 'contact', 'chioroplast']",[],[],[]
15,by contact with which leucoplast is converted to chioroplast?,water,15,by contact with which leucoplast is converted to chioroplast?,water,"['convert', 'leucoplast', 'water', 'contact', 'chioroplast']",[],[],[]
16,which of the following plants contains phloem parenchyma?,rice,16,which of the following plants contains phloem parenchyma?,rice,"['rice', 'follow', 'contain', 'plant', 'parenchyma', 'phloem']",[],['m'],[]
16,which of the following plants contains phloem parenchyma?,pumpkin,16,which of the following plants contains phloem parenchyma?,pumpkin,"['pumpkin', 'follow', 'contain', 'plant', 'parenchyma', 'phloem']",[],['m'],[]
16,which of the following plants contains phloem parenchyma?,wheat,16,which of the following plants contains phloem parenchyma?,wheat,"['follow', 'contain', 'wheat', 'plant', 'parenchyma', 'phloem']",[],['m'],[]
16,which of the following plants contains phloem parenchyma?,maize,16,which of the following plants contains phloem parenchyma?,maize,"['maize', 'follow', 'contain', 'plant', 'parenchyma', 'phloem']",[],['m'],[]
17,what is the amount of organic and inorganic materials in blood?,2-4%,17,what is the amount of organic and inorganic materials in blood?,2-4%,"['material', '%', 'inorganic', 'organic', 'blood']","['4', '2']",['m'],[]
17,what is the amount of organic and inorganic materials in blood?,3-5%,17,what is the amount of organic and inorganic materials in blood?,3-5%,"['material', '%', 'inorganic', 'organic', 'blood']","['5', '3']",['m'],[]
17,what is the amount of organic and inorganic materials in blood?,5-7%,17,what is the amount of organic and inorganic materials in blood?,5-7%,"['material', '%', 'inorganic', 'organic', 'blood']","['7', '5']",['m'],[]
17,what is the amount of organic and inorganic materials in blood?,8-9%,17,what is the amount of organic and inorganic materials in blood?,8-9%,"['material', '%', 'inorganic', 'organic', 'blood']","['8', '9']",['m'],[]
18,which is the full form of atp?,adenosine monophosphate,18,which is the full form of atp?,adenosine monophosphate,"['monophosphate', 'adenosine', 'atp', 'form']",[],['m'],[]
18,which is the full form of atp?,adenosine diphosphate,18,which is the full form of atp?,adenosine diphosphate,"['adenosine', 'atp', 'form', 'diphosphate']",[],['m'],[]
18,which is the full form of atp?,adenosine triphosphate,18,which is the full form of atp?,adenosine triphosphate,"['adenosine', 'atp', 'form', 'triphosphate']",[],['m'],[]
18,which is the full form of atp?,adenosine pentaphosphate,18,which is the full form of atp?,adenosine pentaphosphate,"['pentaphosphate', 'adenosine', 'atp', 'form']",[],['m'],[]
19,the first stable substance of which plant is 4-carbon based oxalocctic acid?,sugarcane,19,the first stable substance of which plant is 4-carbon based oxalocctic acid?,sugarcane,"['substance', 'base', 'carbon', 'acid', 'stable', 'oxalocctic', 'sugarcane', 'plant']","['first', '4']",[],[]
19,the first stable substance of which plant is 4-carbon based oxalocctic acid?,mango,19,the first stable substance of which plant is 4-carbon based oxalocctic acid?,mango,"['substance', 'base', 'carbon', 'acid', 'stable', 'oxalocctic', 'mango', 'plant']","['first', '4']",['m'],[]
19,the first stable substance of which plant is 4-carbon based oxalocctic acid?,black berry,19,the first stable substance of which plant is 4-carbon based oxalocctic acid?,black berry,"['substance', 'base', 'carbon', 'acid', 'stable', 'oxalocctic', 'black', 'plant', 'berry']","['first', '4']",[],[]
19,the first stable substance of which plant is 4-carbon based oxalocctic acid?,jackfruit,19,the first stable substance of which plant is 4-carbon based oxalocctic acid?,jackfruit,"['substance', 'base', 'jackfruit', 'carbon', 'acid', 'stable', 'oxalocctic', 'plant']","['first', '4']",[],[]
20,how many numbers of atp are produced in krebs cycle?,22,20,how many numbers of atp are produced in krebs cycle?,22,"['cycle', 'krebs', 'atp', 'number', 'produce']",['22'],['m'],[]
20,how many numbers of atp are produced in krebs cycle?,24,20,how many numbers of atp are produced in krebs cycle?,24,"['cycle', 'krebs', 'atp', 'number', 'produce']",['24'],['m'],[]
20,how many numbers of atp are produced in krebs cycle?,26,20,how many numbers of atp are produced in krebs cycle?,26,"['cycle', 'krebs', 'atp', 'number', 'produce']",['26'],['m'],[]
20,how many numbers of atp are produced in krebs cycle?,28,20,how many numbers of atp are produced in krebs cycle?,28,"['cycle', 'krebs', 'atp', 'number', 'produce']",['28'],['m'],[]
21,which contains poly-saccharide?,grape,21,which contains poly-saccharide?,grape,"['contain', 'poly', 'grape']",[],[],[]
21,which contains poly-saccharide?,orange,21,which contains poly-saccharide?,orange,"['contain', 'poly', 'orange']",[],[],[]
21,which contains poly-saccharide?,wheat,21,which contains poly-saccharide?,wheat,"['contain', 'poly', 'wheat']",[],[],[]
21,which contains poly-saccharide?,sugar,21,which contains poly-saccharide?,sugar,"['contain', 'poly', 'sugar']",[],[],[]
22,which of the following produces alkaline urine if eaten?,apple,22,which of the following produces alkaline urine if eaten?,apple,"['urine', 'eat', 'apple', 'alkaline', 'following', 'produce']",[],[],[]
22,which of the following produces alkaline urine if eaten?,catla fish,22,which of the following produces alkaline urine if eaten?,catla fish,"['urine', 'eat', 'fish', 'catla', 'alkaline', 'following', 'produce']",[],[],[]
22,which of the following produces alkaline urine if eaten?,beef,22,which of the following produces alkaline urine if eaten?,beef,"['urine', 'eat', 'beef', 'alkaline', 'following', 'produce']",[],[],[]
22,which of the following produces alkaline urine if eaten?,peanut,22,which of the following produces alkaline urine if eaten?,peanut,"['urine', 'eat', 'peanut', 'alkaline', 'following', 'produce']",[],[],[]
23,what is the percentage of nitrogen in protein?,14,23,what is the percentage of nitrogen in protein?,14,"['protein', 'nitrogen', 'percentage']",['14'],[],[]
23,what is the percentage of nitrogen in protein?,16,23,what is the percentage of nitrogen in protein?,16,"['protein', 'nitrogen', 'percentage']",['16'],[],[]
23,what is the percentage of nitrogen in protein?,15,23,what is the percentage of nitrogen in protein?,15,"['protein', 'nitrogen', 'percentage']",['15'],[],[]
23,what is the percentage of nitrogen in protein?,17,23,what is the percentage of nitrogen in protein?,17,"['protein', 'nitrogen', 'percentage']",['17'],[],[]
24,what is the average lifespan of platelets?,2-10 days,24,what is the average lifespan of platelets?,2-10 days,"['lifespan', 'day', 'average', 'platelet']","['10', '2']",[],[]
24,what is the average lifespan of platelets?,5-10 days,24,what is the average lifespan of platelets?,5-10 days,"['lifespan', 'day', 'average', 'platelet']","['10', '5']",[],[]
24,what is the average lifespan of platelets?,7-10 days,24,what is the average lifespan of platelets?,7-10 days,"['lifespan', 'day', 'average', 'platelet']","['7', '10']",[],[]
24,what is the average lifespan of platelets?,8-10 days,24,what is the average lifespan of platelets?,8-10 days,"['lifespan', 'day', 'average', 'platelet']","['10', '8']",[],[]
25,which of the following is responsible for constipation?,skin of fruits,25,which of the following is responsible for constipation?,skin of fruits,"['responsible', 'fruit', 'constipation', 'skin', 'following']",[],[],[]
25,which of the following is responsible for constipation?,stem of plants,25,which of the following is responsible for constipation?,stem of plants,"['plant', 'responsible', 'stem', 'constipation', 'following']",[],['m'],[]
25,which of the following is responsible for constipation?,grain,25,which of the following is responsible for constipation?,grain,"['constipation', 'responsible', 'grain', 'following']",[],[],[]
25,which of the following is responsible for constipation?,mutton,25,which of the following is responsible for constipation?,mutton,"['constipation', 'responsible', 'mutton', 'following']",[],['m'],[]
26,which food contains fat soluble vitamins?,red ata,26,which food contains fat soluble vitamins?,red ata,"['vitamin', 'soluble', 'contain', 'ata', 'fat', 'food', 'red']",[],['m'],[]
26,which food contains fat soluble vitamins?,mugdal,26,which food contains fat soluble vitamins?,mugdal,"['mugdal', 'vitamin', 'food', 'contain', 'soluble', 'fat']",[],['m'],[]
26,which food contains fat soluble vitamins?,tomato,26,which food contains fat soluble vitamins?,tomato,"['vitamin', 'tomato', 'soluble', 'contain', 'fat', 'food']",[],['m'],[]
26,which food contains fat soluble vitamins?,butter,26,which food contains fat soluble vitamins?,butter,"['vitamin', 'food', 'contain', 'soluble', 'fat', 'butter']",[],['m'],[]
27,how much water present in human urine?,90,27,how much water present in human urine?,90,"['present', 'urine', 'water', 'human']",['90'],['m'],[]
27,how much water present in human urine?,92,27,how much water present in human urine?,92,"['present', 'urine', 'water', 'human']",['92'],['m'],[]
27,how much water present in human urine?,95,27,how much water present in human urine?,95,"['present', 'urine', 'water', 'human']",['95'],['m'],[]
27,how much water present in human urine?,97,27,how much water present in human urine?,97,"['present', 'urine', 'water', 'human']",['97'],['m'],[]
28,which is bisexual flower?,gourd,28,which is bisexual flower?,gourd,"['gourd', 'flower', 'bisexual']",[],[],[]
28,which is bisexual flower?,pumpkin,28,which is bisexual flower?,pumpkin,"['pumpkin', 'flower', 'bisexual']",[],['m'],[]
28,which is bisexual flower?,jhinga,28,which is bisexual flower?,jhinga,"['jhinga', 'flower', 'bisexual']",[],[],[]
28,which is bisexual flower?,china-rose,28,which is bisexual flower?,china-rose,"['flower', 'rise', 'china', 'bisexual']",[],[],[]
29,which blood group is called universal blood donor?,a,29,which blood group is called universal blood donor?,a,"['call', 'universal', 'donor', 'group', 'blood']",[],[],[]
29,which blood group is called universal blood donor?,b,29,which blood group is called universal blood donor?,b,"['call', 'universal', 'donor', 'group', 'blood']",[],[],[]
29,which blood group is called universal blood donor?,ab,29,which blood group is called universal blood donor?,ab,"['call', 'universal', 'donor', 'group', 'ab', 'blood']",[],[],[]
29,which blood group is called universal blood donor?,o,29,which blood group is called universal blood donor?,o,"['call', 'universal', 'donor', 'group', 'blood']",[],[],[]
30,what is the length of a chromosome?,3.5 to 30.0 microns,30,what is the length of a chromosome?,3.5 to 30.0 microns,"['length', 'chromosome', 'micron']","['3.5', '30.0']",['m'],[]
30,what is the length of a chromosome?,3.5 to 35.0 microns,30,what is the length of a chromosome?,3.5 to 35.0 microns,"['length', 'chromosome', 'micron']","['3.5', '35.0']",['m'],[]
30,what is the length of a chromosome?,4.5 to 30.0 microns,30,what is the length of a chromosome?,4.5 to 30.0 microns,"['length', 'chromosome', 'micron']","['30.0', '4.5']",['m'],[]
30,what is the length of a chromosome?,5.5 to 30.0 microns,30,what is the length of a chromosome?,5.5 to 30.0 microns,"['length', 'chromosome', 'micron']","['30.0', '5.5']",['m'],[]
31,which of the flower has no fragrance?,rose,31,which of the flower has no fragrance?,rose,"['fragrance', 'flower', 'rise']",[],[],[]
31,which of the flower has no fragrance?,tube rose,31,which of the flower has no fragrance?,tube rose,"['fragrance', 'flower', 'tube', 'rise']",[],[],[]
31,which of the flower has no fragrance?,mustard,31,which of the flower has no fragrance?,mustard,"['fragrance', 'flower', 'mustard']",[],['m'],[]
31,which of the flower has no fragrance?,vallisnaria,31,which of the flower has no fragrance?,vallisnaria,"['fragrance', 'flower', 'vallisnaria']",[],[],[]
32,what is the name of the juice secreted from endocrine gland?,enzyme,32,what is the name of the juice secreted from endocrine gland?,enzyme,"['secrete', 'gland', 'juice', 'endocrine', 'enzyme']",[],['m'],[]
32,what is the name of the juice secreted from endocrine gland?,plasma,32,what is the name of the juice secreted from endocrine gland?,plasma,"['secrete', 'gland', 'juice', 'endocrine', 'plasma']",[],['m'],[]
32,what is the name of the juice secreted from endocrine gland?,lymph,32,what is the name of the juice secreted from endocrine gland?,lymph,"['secrete', 'lymph', 'gland', 'juice', 'endocrine']",[],['m'],[]
32,what is the name of the juice secreted from endocrine gland?,hormone,32,what is the name of the juice secreted from endocrine gland?,hormone,"['secrete', 'hormone', 'gland', 'juice', 'endocrine']",[],['m'],[]
33,"found in trachea-
i. pseudo stractified epithelial tissue
ii. ciliated epithelial tissue
iii. cuboidal epithelial tissue
which one is correct?",i and ii,33,"found in trachea-
i. pseudo stractified epithelial tissue
ii. ciliated epithelial tissue
iii. cuboidal epithelial tissue
which one is correct?",i and ii,"['ii', 'iii', 'epithelial', '.', 'i.', 'pseudo', 'correct', 'tissue', 'cuboidal', 'cuboidal epithelial tissue', 'ciliate', 'stractifie', 'find', 'trachea-']",['one'],[],[]
33,"found in trachea-
i. pseudo stractified epithelial tissue
ii. ciliated epithelial tissue
iii. cuboidal epithelial tissue
which one is correct?",i and iii,33,"found in trachea-
i. pseudo stractified epithelial tissue
ii. ciliated epithelial tissue
iii. cuboidal epithelial tissue
which one is correct?",i and iii,"['ii', 'iii', 'epithelial', '.', 'i.', 'pseudo', 'correct', 'tissue', 'cuboidal', 'cuboidal epithelial tissue', 'ciliate', 'stractifie', 'find', 'trachea-']",['one'],[],[]
33,"found in trachea-
i. pseudo stractified epithelial tissue
ii. ciliated epithelial tissue
iii. cuboidal epithelial tissue
which one is correct?",ii and iii,33,"found in trachea-
i. pseudo stractified epithelial tissue
ii. ciliated epithelial tissue
iii. cuboidal epithelial tissue
which one is correct?",ii and iii,"['ii', 'iii', 'epithelial', '.', 'i.', 'pseudo', 'correct', 'tissue', 'cuboidal', 'cuboidal epithelial tissue', 'ciliate', 'stractifie', 'find', 'trachea-']",['one'],[],[]
